,Ticker,FiscalYear,CashFlow,BookValue,Earnings,5YrReturn%
1420,LYB,2020-12-31,3404000000.0,7971000000.0,1427000000.0,55.12836903801131
1421,LYB,2019-12-31,4961000000.0,8044000000.0,3397000000.0,71.22308991851493
1422,LYB,2018-12-31,5471000000.0,10257000000.0,4690000000.0,24.113891285591027
1423,MTB,2022-12-31,4573740000.0,25317990000.0,1991663000.0,-2.3871872888245558
1424,MTB,2021-12-31,2714959000.0,17903405000.0,1858746000.0,12.049148263827343
1425,MTB,2020-12-31,789187000.0,16187283000.0,1353152000.0,19.10568859495056
1426,MTB,2019-12-31,2357555000.0,15716649000.0,1929149000.0,50.89083165209593
1427,MTB,2018-12-31,2089852000.0,15460191000.0,1918080000.0,36.944932752790315
1428,MRO,2022-12-31,5428000000.0,11397000000.0,3612000000.0,70.23104528335384
1429,MRO,2021-12-31,3239000000.0,10686000000.0,946000000.0,1.1705433182796063
1430,MRO,2020-12-31,1473000000.0,10561000000.0,-1451000000.0,-43.33427183782642
1431,MRO,2019-12-31,2749000000.0,12153000000.0,480000000.0,-47.66265818190617
1432,MRO,2018-12-31,3234000000.0,12128000000.0,1096000000.0,-55.329872019577365
1433,MPC,2022-12-31,16361000000.0,27715000000.0,14516000000.0,112.51724737451494
1434,MPC,2021-12-31,4360000000.0,26206000000.0,9738000000.0,53.47782308313478
1435,MPC,2020-12-31,2419000000.0,22199000000.0,-9826000000.0,-4.024740612493255
1436,MPC,2019-12-31,9441000000.0,33694000000.0,2637000000.0,55.02995686799842
1437,MPC,2018-12-31,6158000000.0,35175000000.0,2780000000.0,46.76755043449206
1438,MKTX,2022-12-31,289231000.0,1081093000.0,250224000.0,43.373750913965395
1439,MKTX,2021-12-31,282091000.0,1041309000.0,257888000.0,189.46092485309734
1440,MKTX,2020-12-31,404489000.0,955061000.0,299377000.0,429.8389832274985
1441,MKTX,2019-12-31,265935000.0,770091000.0,204902000.0,449.8709432671065
1442,MKTX,2018-12-31,223917000.0,607878000.0,172852000.0,229.6589998984783
1443,MAR,2022-12-31,2363000000.0,568000000.0,2358000000.0,13.798781757561004
1444,MAR,2021-12-31,1177000000.0,1414000000.0,1099000000.0,108.65496866881419
1445,MAR,2020-12-31,1639000000.0,430000000.0,-267000000.0,108.85276879223649
1446,MAR,2019-12-31,1685000000.0,703000000.0,1273000000.0,107.71082390503067
